"University","CostIState","CostOState"
"Lehigh University",50740,50740
"Hartwick College",44534,44534
"Gwynedd-Mercy College",35520,35520
"College of the Holy Cross",50630,50630
"King's College",35830,35830
"Lafayette College",50850,50850
"Elizabethtown College",45350,45350
"Lancaster Bible College",23400,23400
"Sonoma State University",7724,19604
"Dominican University",32530,32530
"Governors State University",10516,18676
"Indiana Wesleyan University",25980,25980
"Illinois State University",14061,25168
"Erskine College",34560,34560
"Iowa Wesleyan College",30000,30000
"Loyola University Chicago",43078,43078
"Kenyon College",53560,53560
"Roosevelt University",28963,28963
"John Carroll University",39790,39790
"Crown College",25430,25430
"Knox College",44958,44958
"Indiana University Bloomington",10533,34845
"Ripon College",41835,41835
"Florida State University",6507,21673
"University of Michigan - Dearborn",12472,24706
"Missouri University of Science and Technology",9839,27701
"Northern Illinois University",12262,21727
"University of the Pacific",46346,46346
"Colorado Christian University",30370,30370
"Florida International University",6558,18956
"Cameron University",6180,15510
"William Carey University",12300,12300
"McDaniel College",41800,41800
"Fontbonne University",25460,25460
"Wheeling Jesuit University",28110,28110
"University of Missouri - Kansas City",9763,24490
"Saint Mary-of-the-Woods College",29510,29510
"Cornerstone University",27520,27520
"Eastern University",32315,32315
"Georgian Court University",32260,32260
"New York City College of Technology",6931,17801
"Hunter College",6980,17850
"Monmouth College",36400,36400
"Northern Michigan University",10490,15986
"Greensboro College",29120,29120
"Manhattan Christian College",15418,15418
"Loyola University Maryland",47725,47725
"California State University Fresno",6583,18463
"Oklahoma Baptist University",26840,26840
"Metropolitan State University of Denver",7352,20149
"Marian University",33000,33000
"Mount Mary University",29510,29510
"Davis and Elkins College",28992,28992
"Kent State University",10012,18544
"Lawrence Technological University",32130,32130
"Harvey Mudd College",54886,54886
"Dordt College",30000,30000
"Texas Tech University",10771,23011
"University of Nebraska - Omaha",8207,22037
"Oklahoma Panhandle State University",7674,13233
"Mount Vernon Nazarene University",28090,28090
"Southern Arkansas University",8346,12156
"Southwestern Assemblies of God University",20410,20410
"Memphis College of Art",33100,33100
"University of Puget Sound",48090,48090
"Xavier University of Louisiana",23606,23606
"Master's College",33020,33020
"Washburn University",8540,19190
"New Jersey City University",11762,21052
"University of San Diego",47708,47708
"Black Hills State University",8602,11602
"California State University Bakersfield",7142,19022
"University of Texas at Tyler",7822,20872
"Pacific Northwest College of Art",36724,36724
"University of Houston - Downtown",7511,19961
"University of Minnesota, Morris",13072,15092
"Dickinson State University",6554,9226
"University of Texas at San Antonio",9380,23379
"Dominican University of California",44690,44690
"Indiana University South Bend",7207,19038
"Adams State University",9440,20456
"Georgetown College",37160,37160
"University of Texas Health Science Center at Houston",5976,25986
"University of Louisville",11264,26286
"University of the Incarnate Word",29990,29990
"Florida Institute of Technology",41240,41240
"Rose-Hulman Institute of Technology",47997,47997
"Minneapolis College of Art and Design",37812,37812
"Marshall University",7798,17856
"Dominican College",28448,28448
"College for Creative Studies",42460,42460
"University of Central Oklahoma",7100,17447
"La Sierra University",32130,32130
"Fairmont State University",7296,15398
"Franklin University",15295,15295
"Wofford College",41955,41955
"Newberry College",25900,25900
"Davidson College",49949,49949
"Shepherd University",7328,17873
"Lewis-Clark State College",6334,18410
"Mary Baldwin University",31040,31040
"Marian University",27400,27400
"Northwest University",30320,30320
"Gardner-Webb University",30310,30310
"University of Maryland Eastern Shore",8042,18048
"California State University Northridge",6870,18750
"Western Washington University",7932,22444
"St. Cloud State University",8113,16346
"Oklahoma Wesleyan University",26090,26090
"Luther College",41020,41020
"Cornish College of the Arts",39864,39864
"Angelo State University",8216,20666
"University of California, Riverside",13917,41931
"University of Montana Western",5502,16644
"Texas Wesleyan University",27392,27392
"University of Mobile",22210,22210
"East Tennessee State University",9015,27693
"University of California, Santa Cruz",13969,41983
"Notre Dame de Namur University",34486,34486
"Sterling College",24985,24985
"Our Lady of the Lake University",28192,28192
"Flagler College",18300,18300
"New Mexico Institute of Mining and Technology",7183,20991
"Southern Utah University",6676,20288
"San Diego Christian College",30438,30438
"Mayville State University",6456,9084
"Ottawa University",28550,28550
"Oregon State University",10797,29457
"South Dakota School of Mines and Technology",9627,13806
"University of Alaska Southeast",7710,23100
"Central Washington University",7849,21956
"Wayne State College",6824,11984
"George Fox University",35016,35016
"California Lutheran University",41363,41363
"Portland State University",9030,26130
"Dakota State University",9147,12077
