"University","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"suny downstate medical center","public",343,"moderately difficult",0.14,1005,"brooklyn","NY"
"chowan university","private",1525,"minimally difficult",0.57,4364,"murfreesboro","NC"
"lees-mcrae college","private",991,"minimally difficult",0.63,1531,"banner elk","NC"
"oregon health & science university","public",827,"",NA,NA,"portland","OR"
"anderson university","private",2940,"minimally difficult",0.54,3316,"anderson","SC"
"medical university of south carolina","public",205,"very difficult",NA,NA,"charleston","SC"
"oglala lakota college","public",NA,"",NA,NA,"kyle","SD"
"texas a&m university texarkana","public",1061,"noncompetitive",NA,NA,"texarkana","TX"
"university of houston victoria","public",3012,"minimally difficult",0.56,3950,"victoria","TX"
"university of texas medical branch","public",492,"very difficult",NA,NA,"galveston","TX"
"city university of seattle","private",1035,"noncompetitive",1,86,"seattle","WA"
"midway college","private",1513,"minimally difficult",NA,NA,"midway","KY"
"clayton state university","public",6555,"minimally difficult",0.41,2295,"morrow","GA"
"shawnee state university","public",3603,"noncompetitive",0.74,3614,"portsmouth","OH"
"wisconsin lutheran college","private",1070,"moderately difficult",0.64,870,"milwaukee","WI"
"humphreys college","private",669,"noncompetitive",NA,NA,"stockton","CA"
"hilbert college","private",809,"minimally difficult",0.81,968,"hamburg","NY"
"champlain college","private",2267,"moderately difficult",0.7,4576,"burlington","VT"
"art institute of portland","private for profit",NA,"",NA,NA,"portland","OR"
"lasell college","private",1788,"moderately difficult",0.76,3221,"newton","MA"
"mount aloysius college","private",1720,"minimally difficult",NA,NA,"cresson","PA"
"alfred state college","public",3699,"moderately difficult",0.57,4912,"alfred","NY"
"charter oak state college","public",1533,"noncompetitive",NA,NA,"new britain","CT"
"martin university","private",1074,"noncompetitive",0.96,243,"indianapolis","IN"
"montserrat college of art","private",397,"moderately difficult",0.79,404,"beverly","MA"
"chamberlain college of nursing","private for profit",543,"moderately difficult",NA,NA,"st louis","MO"
"montreat college","private",808,"moderately difficult",0.54,819,"montreat","NC"
"valley forge university","private",810,"minimally difficult",0.79,465,"phoenixville","PA"
"presentation college","private",748,"noncompetitive",0.74,340,"aberdeen","SD"
"sinte gleska university","public",869,"noncompetitive",NA,NA,"mission","SD"
"criswell college","private",225,"minimally difficult",1,25,"dallas","TX"
"southwestern christian college","private",NA,"noncompetitive",NA,NA,"terrell","TX"
"arkansas baptist college","private",626,"minimally difficult",NA,NA,"little rock","AR"
"central baptist college","private",832,"minimally difficult",0.62,318,"conway","AR"
"life pacific college","private",514,"minimally difficult",1,75,"san dimas","CA"
"lincoln university","private",252,"minimally difficult",0.81,276,"oakland","CA"
"emmanuel college","private",920,"minimally difficult",0.41,1386,"franklin springs","GA"
"lincoln christian university","private",528,"moderately difficult",0.56,234,"lincoln","IL"
"great lakes christian college","private",225,"minimally difficult",NA,NA,"lansing","MI"
"research college of nursing","private for profit",340,"moderately difficult",0.73,339,"kansas city","MO"
"grace university","private",366,"moderately difficult",0.64,228,"omaha","NE"
"piedmont international university","private",197,"noncompetitive",0.49,85,"winston salem","NC"
"trinity bible college","private",197,"noncompetitive",NA,NA,"ellendale","ND"
"mid-america christian university","private",869,"noncompetitive",NA,NA,"oklahoma city","OK"
"allen university","private",827,"minimally difficult",0.72,1937,"columbia","SC"
"university of minnesota crookston","public",2823,"minimally difficult",0.78,1073,"crookston","MN"
"state university of new york of agriculture & technology cobleskill",NA,2304,"minimally difficult",0.78,2897,"cobleskill","NY"
"art institute of fort lauderdale","private for profit",NA,"",NA,NA,"fort lauderdale","FL"
"thomas university","private",769,"minimally difficult",0.47,416,"thomasville","GA"
"university of maryland university college","public",44219,"noncompetitive",1,1981,"adelphi","MD"
"university of mississippi medical center","public",512,"",NA,NA,"jackson","MS"
"california state university san marcos","public",12562,"moderately difficult",0.73,12872,"san marcos","CA"
"o'more college of design","private",170,"moderately difficult",0.8,132,"franklin","TN"
"concordia college alabama","private",611,"moderately difficult",NA,NA,"selma","AL"
"york college","private",430,"moderately difficult",0.6,485,"york","NE"
"design institute of san diego","private for profit",143,"",NA,NA,"san diego","CA"
"holy apostles college & seminary","private",58,"noncompetitive",1,10,"cromwell","CT"
"rabbinical college of america","private",259,"minimally difficult",1,60,"morristown","NJ"
"talmudical academy of new jersey","private",48,"",1,15,"adelphia","NJ"
"the jewish theological seminary","private",190,"very difficult",0.6,124,"new york","NY"
"excelsior college","private",35161,"",NA,NA,"albany","NY"
"heritage christian university","private",63,"noncompetitive",1,8,"florence","AL"
"amridge university","private",315,"minimally difficult",NA,NA,"montgomery","AL"
"johnson university florida","private",185,"minimally difficult",0.62,232,"kissimmee","FL"
"st. john vianney college seminary","private",NA,"moderately difficult",1,10,"miami","FL"
"talmudic university","private",30,"moderately difficult",0.8,10,"miami beach","FL"
"point university","private",1954,"moderately difficult",0.51,1184,"west point","GA"
"reinhardt university","private",1334,"moderately difficult",0.9,1172,"waleska","GA"
"clear creek baptist bible college","private",172,"noncompetitive",0.88,52,"pineville","KY"
"kentucky mountain bible college","private",85,"minimally difficult",0.41,59,"jackson","KY"
"sullivan university","private for profit",2504,"minimally difficult",0.77,3091,"louisville","KY"
"ner israel rabbinical college","private",369,"moderately difficult",NA,NA,"baltimore","MD"
"southeastern baptist college","private",79,"noncompetitive",NA,NA,"laurel","MS"
"john wesley university","private",126,"moderately difficult",0.2,165,"high point","NC"
"mid-atlantic christian university","private",186,"minimally difficult",0.5,212,"elizabeth city","NC"
"north greenville university","private",2481,"minimally difficult",0.59,1617,"tigerville","SC"
"american baptist college","private",152,"noncompetitive",0.82,45,"nashville","TN"
"martin methodist college","private",924,"minimally difficult",NA,NA,"pulaski","TN"
"appalachian bible college","private",286,"noncompetitive",0.56,133,"mount hope","WV"
"ohio valley university","private",403,"minimally difficult",0.64,845,"vienna","WV"
"blessing-reiman college of nursing","private",233,"moderately difficult",0.66,546,"quincy","IL"
"saint anthony college of nursing","private",238,"moderately difficult",NA,NA,"rockford","IL"
"saint francis medical center college of nursing","private",392,"",0.72,223,"peoria","IL"
"resurrection university","private",609,"moderately difficult",NA,NA,"chicago","IL"
"divine word college","private",133,"",NA,NA,"epworth","IA"
"emmaus bible college","private",265,"noncompetitive",0.36,432,"dubuque","IA"
"grace bible college","private",207,"minimally difficult",0.34,158,"grand rapids","MI"
"kuyper college","private",208,"moderately difficult",0.73,154,"grand rapids","MI"
"sacred heart major seminary","private",264,"moderately difficult",1,4,"detroit","MI"
"oak hills christian college","private",140,"minimally difficult",0.56,70,"bemidji","MN"
"central christian college of the bible","private",417,"noncompetitive",0.65,354,"moberly","MO"
"st. louis christian college","private",113,"minimally difficult",0.27,51,"florissant","MO"
"saint luke's college of health sciences","private",113,"very difficult",NA,NA,"kansas city","MO"
"ohio christian university","private",4213,"minimally difficult",NA,NA,"circleville","OH"
"god's bible school & college","private",292,"",0.9,93,"cincinnati","OH"
"mount carmel college of nursing","private",926,"moderately difficult",0.61,254,"columbus","OH"
"ozark christian college","private",NA,"noncompetitive",NA,NA,"joplin","MO"
"alaska bible college","private",50,"minimally difficult",NA,NA,"palmer","AK"
"arizona christian university","private",820,"",NA,NA,"phoenix","AZ"
"william jessup university","private",1097,"moderately difficult",0.76,522,"rocklin","CA"
"yeshiva ohr elchonon chabad/west coast talmudical seminary","private",135,"moderately difficult",1,68,"los angeles","CA"
"naropa university","private",397,"moderately difficult",0.8,181,"boulder","CO"
"nazarene bible college","private",769,"noncompetitive",0.14,129,"lenexa","KS"
"southwestern christian university","private",325,"minimally difficult",NA,NA,"bethany","OK"
"new hope christian college","private",143,"minimally difficult",0.22,165,"eugene","OR"
"arlington baptist college","private",184,"noncompetitive",1,80,"arlington","TX"
"baptist missionary association theological seminary","private",56,"noncompetitive",NA,NA,"jacksonville","TX"
"dallas christian college","private",252,"moderately difficult",0.23,225,"dallas","TX"
"bastyr university","private",287,"",NA,NA,"kenmore","WA"
"boise bible college","private",174,"minimally difficult",1,77,"boise","ID"
"barclay college","private",250,"minimally difficult",0.71,89,"haviland","KS"
"central christian college of kansas","private",466,"minimally difficult",0.99,402,"mcpherson","KS"
"salish kootenai college","private",1088,"noncompetitive",0.64,344,"pablo","MT"
"nebraska christian college","private",130,"",NA,NA,"papillion","NE"
"nebraska methodist college","private",865,"moderately difficult",0.35,240,"omaha","NE"
"becker college","private",2178,"moderately difficult",0.65,4458,"worcester","MA"
"johnson & wales university","private",1752,"moderately difficult",0.76,4049,"north miami","FL"
"william peace university","private",1034,"moderately difficult",0.63,1631,"raleigh","NC"
"robert morris university","private",2352,"minimally difficult",0.23,2732,"chicago","IL"
"maranatha baptist bible college","private",953,"noncompetitive",0.68,398,"watertown","WI"
"goldfarb school of nursing barnes-jewish college","private",616,"moderately difficult",NA,NA,"st louis","MO"
"columbia college of nursing","private",169,"moderately difficult",NA,NA,"glendale","WI"
"bellin college","private",362,"moderately difficult",NA,NA,"green bay","WI"
"davis college","private",216,"minimally difficult",0.52,120,"johnson city","NY"
"allen college","private",360,"moderately difficult",NA,NA,"waterloo","IA"
"lakeview college of nursing","private",236,"moderately difficult",NA,NA,"danville","IL"
"yehiva gedolah of greater detroit","private",57,"",1,27,"oak park","MI"
"pennsylvania college of technology","public",5432,"noncompetitive",0.67,6366,"williamsport","PA"
"the art institute of atlanta","private for profit",NA,"",NA,NA,"atlanta","GA"
"caribbean university","private",2920,"minimally difficult",0.57,1020,"bayamón","PR"
"universidad del este","private",11825,"noncompetitive",0.43,10800,"carolina","PR"
"university of puerto rico medical sciences campus","public",535,"moderately difficult",NA,NA,"san juan","PR"
"inter american university of puerto rico aguadilla campus","private",3964,"moderately difficult",0.47,1728,"aguadilla","PR"
"inter american university of puerto rico arecibo campus","private",4547,"moderately difficult",NA,NA,"arecibo","PR"
"inter american university of puerto rico barranquitas campus","private",2067,"",NA,NA,"barranquitas","PR"
"inter american university of puerto rico bayamon campus","private",4328,"",0.43,2227,"bayamón","PR"
"inter american university of puerto rico fajardo campus","private",1986,"moderately difficult",0.82,663,"fajardo","PR"
"inter american university of puerto rico guayama campus","private",1815,"moderately difficult",0.48,536,"guayama","PR"
"inter american university of puerto rico ponce campus","private",4868,"moderately difficult",0.56,1646,"mercedita","PR"
"universidad del turabo","private",14696,"minimally difficult",0.52,8968,"gurabo","PR"
"universidad metropolitana","private",11589,"moderately difficult",0.65,11494,"san juan","PR"
"columbia university school of general studies","private",2068,"most difficult",0.35,696,"new york","NY"
"aquinas college","private",337,"minimally difficult",0.52,183,"nashville","TN"
"interior designers institute","private for profit",468,"",NA,NA,"newport beach","CA"
"rutgers university camden","public",5021,"moderately difficult",0.57,8725,"camden","NJ"
"rutgers university","public",36168,"moderately difficult",0.57,36677,"piscataway","NJ"
"rutgers university newark","public",8170,"moderately difficult",0.62,4693,"newark","NJ"
"bridgewater college","private",1882,"moderately difficult",0.53,7486,"bridgewater","VA"
"campbell university","private",2934,"moderately difficult",0.6,3348,"buies creek","NC"
"campbellsville university","private",3349,"moderately difficult",0.7,2966,"campbellsville","KY"
"capitol college","private",309,"minimally difficult",NA,NA,"laurel","MD"
"carson-newman university","private",1812,"moderately difficult",0.63,6496,"jefferson city","TN"
"catawba college","private",1297,"moderately difficult",0.47,2528,"salisbury","NC"
"claflin university","private",1836,"minimally difficult",0.6,4073,"orangeburg","SC"
"catholic university of america","private",3238,"",NA,NA,"washington","DC"
"centenary college of louisiana","private",481,"moderately difficult",0.64,886,"shreveport","LA"
"university of central arkansas","public",9616,"moderately difficult",0.9,4922,"conway","AR"
"southern wesleyan university","private",1456,"minimally difficult",0.94,575,"central","SC"
"university of central florida","public",55776,"moderately difficult",0.5,34886,"orlando","FL"
"centre college","private",1430,"very difficult",0.74,2595,"danville","KY"
"college of charleston","public",10375,"moderately difficult",0.84,10828,"charleston","SC"
"university of charleston","private",1761,"moderately difficult",0.52,1801,"charleston","WV"
"christian brothers university","private",1410,"moderately difficult",0.52,2387,"memphis","TN"
"christopher newport university","public",4930,"moderately difficult",0.62,7532,"newport news","VA"
"the citadel","public",2773,"moderately difficult",0.82,2620,"charleston","SC"
"clark atlanta university","private",3093,"moderately difficult",0.72,10733,"atlanta","GA"
"clemson university","public",18599,"very difficult",0.51,23506,"clemson","SC"
"coker college","private",1165,"moderately difficult",0.51,1393,"hartsville","SC"
"columbia college","private",1554,"moderately difficult",0.89,506,"columbia","SC"
"columbia international university","private",497,"moderately difficult",0.36,518,"columbia","SC"
"washington adventist university","private",1327,"moderately difficult",NA,NA,"takoma park","MD"
"columbus state university","public",6789,"minimally difficult",0.56,3157,"columbus","GA"
"concord university","public",2102,"minimally difficult",0.81,2960,"athens","WV"
"converse college","private",870,"moderately difficult",0.6,1359,"spartanburg","SC"
"coppin state university","public",3298,"moderately difficult",0.54,3767,"baltimore","MD"
"university of the cumberlands","private",3082,"moderately difficult",0.71,2326,"williamsburg","KY"
"lipscomb university","private",2986,"moderately difficult",0.61,3464,"nashville","TN"
"agnes scott college","private",927,"moderately difficult",0.65,1399,"decatur","GA"
"eckerd college","private",1844,"moderately difficult",0.72,4603,"st petersburg","FL"
"francis marion university","public",3559,"moderately difficult",0.62,3738,"florence","SC"
"furman university","private",2797,"moderately difficult",0.68,5232,"greenville","SC"
"georgia institute of technology","public",15489,"",0.26,30528,"atlanta","GA"
"glenville state college","public",1732,"noncompetitive",0.72,1430,"glenville","WV"
"hampden-sydney college","private",1027,"moderately difficult",0.56,3403,"hampden sydney","VA"
"high point university","private",4546,"moderately difficult",0.79,9683,"high point","NC"
"hollins university","private",654,"moderately difficult",0.6,2901,"roanoke","VA"
"huntingdon college","private",1148,"",NA,NA,"montgomery","AL"
"kentucky wesleyan college","private",785,"moderately difficult",0.67,996,"owensboro","KY"
"king college","private",2343,"moderately difficult",0.55,343,"bristol","TN"
"lagrange college","private",906,"moderately difficult",0.58,1568,"lagrange","GA"
"lee university","private",4821,"",NA,NA,"cleveland","TN"
"lemoyne-owen college","private",945,"minimally difficult",1,527,"memphis","TN"
"limestone college","private",1227,"minimally difficult",0.52,3195,"gaffney","SC"
"longwood university","public",4386,"moderately difficult",0.79,4716,"farmville","VA"
"louisiana college","private",909,"moderately difficult",0.72,755,"pineville","LA"
"mars hill university","private",1395,"moderately difficult",0.61,3010,"mars hill","NC"
"mcneese state university","public",6961,"moderately difficult",0.64,3160,"lake charles","LA"
"methodist university","private",2217,"moderately difficult",0.63,2904,"fayetteville","NC"
"devry university atlanta","private for profit",903,"minimally difficult",NA,NA,"decatur","GA"
"florida atlantic university","public",25400,"moderately difficult",0.6,15907,"boca raton","FL"
"welch college","private",327,"noncompetitive",0.69,115,"gallatin","TN"
"frostburg state university","public",4884,"moderately difficult",0.63,4228,"frostburg","MD"
"johnson university","private",842,"moderately difficult",0.53,370,"knoxville","TN"
"georgia southwestern state university","public",2558,"moderately difficult",0.68,1389,"americus","GA"
"miles college","private",1738,"noncompetitive",0.26,2905,"fairfield","AL"
"georgia southern university","public",18005,"moderately difficult",0.65,9834,"statesboro","GA"
"kennesaw state university","public",32166,"moderately difficult",0.59,15122,"kennesaw","GA"
"georgia regents university","public",5133,"",0.59,2151,"augusta","GA"
"louisiana state university shreveport","public",2776,"moderately difficult",0.81,602,"shreveport","LA"
"hendrix college","private",1321,"very difficult",0.77,1830,"conway","AR"
"hood college","private",1174,"moderately difficult",0.71,1727,"frederick","MD"
"johns hopkins university","private",6117,"",0.12,27094,"baltimore","MD"
"university of mary washington","public",4357,"very difficult",0.74,6270,"fredericksburg","VA"
"university of west alabama","public",1978,"minimally difficult",0.53,1032,"livingston","AL"
"university of north carolina school of the arts","public",907,"",NA,NA,"winston salem","NC"
"tennessee wesleyan college","private",1015,"minimally difficult",0.58,988,"athens","TN"
"university of north alabama","public",6313,"minimally difficult",0.52,4761,"florence","AL"
"morehouse college","private",2108,"moderately difficult",0.66,3186,"atlanta","GA"
"lenoir-rhyne university","private",1710,"moderately difficult",0.7,6300,"hickory","NC"
"lander university","public",2969,"moderately difficult",0.42,3342,"greenwood","SC"
"north carolina a&t state university","public",9203,"moderately difficult",0.58,7491,"greensboro","NC"
"louisiana tech university","public",11281,"moderately difficult",0.62,7227,"ruston","LA"
"new college of florida","public",861,"very difficult",0.71,1417,"sarasota","FL"
"university of new orleans","public",6442,"moderately difficult",0.6,3409,"new orleans","LA"
"morgan state university","public",6114,"moderately difficult",0.43,9166,"baltimore","MD"
"marymount university","private",2323,"moderately difficult",0.91,2476,"arlington","VA"
"university of maryland","public",28472,"moderately difficult",0.48,30272,"college park","MD"
"loyola university new orleans","private",2483,"moderately difficult",0.68,5160,"new orleans","LA"
"lincoln memorial university","private",1699,"moderately difficult",0.74,2306,"harrogate","TN"
"university of memphis","public",16639,"moderately difficult",0.92,7556,"memphis","TN"
"morehead state university","public",14400,"minimally difficult",0.83,15996,"morehead","KY"
"liberty university","private",13646,"minimally difficult",0.28,22984,"lynchburg","VA"
"university of kentucky","public",22621,"moderately difficult",0.91,20480,"lexington","KY"
"middle tennessee state university","public",20140,"moderately difficult",0.73,8164,"murfreesboro","TN"
"mississippi state university","public",18090,"moderately difficult",0.71,13930,"mississippi state","MS"
"lynchburg college","private",2079,"moderately difficult",0.64,5223,"lynchburg","VA"
"university of mississippi","public",18785,"moderately difficult",0.79,18059,"university","MS"
"george washington university","private",11504,"most difficult",0.4,25488,"washington","DC"
"embry-riddle aeronautical university","private",5447,"moderately difficult",0.71,4901,"daytona beach","FL"
"talladega college","private",989,"moderately difficult",0.15,2047,"talladega","AL"
"university of tampa","private",7382,"moderately difficult",0.48,19947,"tampa","FL"
"tennessee state university","public",7007,"minimally difficult",0.53,8857,"nashville","TN"
"tennessee technological university","public",10052,"moderately difficult",0.93,4973,"cookeville","TN"
"university of tennessee chattanooga","public",10170,"moderately difficult",0.78,7628,"chattanooga","TN"
"university of tennessee","public",22139,"moderately difficult",0.77,17583,"knoxville","TN"
"university of tennessee martin","public",6279,"moderately difficult",0.67,3547,"martin","TN"
"thomas more college","private",1821,"moderately difficult",0.89,2401,"crestview hills","KY"
"toccoa falls college","private",1254,"moderately difficult",0.54,881,"toccoa falls","GA"
"tougaloo college","private",900,"minimally difficult",0.4,2551,"tougaloo","MS"
"towson university","public",19198,"moderately difficult",0.74,11897,"towson","MD"
"transylvania university","private",963,"very difficult",0.95,1216,"lexington","KY"
"trevecca nazarene university","private",2092,"moderately difficult",0.72,1417,"nashville","TN"
"trinity washington university","private",1043,"moderately difficult",NA,NA,"washington","DC"
"troy university","public",14243,"moderately difficult",0.9,6565,"troy","AL"
"tulane university","private",6377,"very difficult",0.26,32006,"new orleans","LA"
"tusculum college","private",1585,"moderately difficult",0.74,2238,"greeneville","TN"
"tuskegee university","private",2485,"moderately difficult",0.53,7529,"tuskegee","AL"
"union college","private",975,"moderately difficult",0.67,1344,"barbourville","KY"
"union university","private",2214,"moderately difficult",0.63,2012,"jackson","TN"
"united states naval academy","public",4525,"very difficult",0.09,16101,"annapolis","MD"
"valdosta state university","public",8780,"moderately difficult",0.65,5108,"valdosta","GA"
"vanderbilt university","private",6871,"most difficult",0.11,32442,"nashville","TN"
"stevenson university","private",3621,"moderately difficult",0.61,5856,"stevenson","MD"
"university of the virgin islands","public",2132,"noncompetitive",0.92,1789,"st thomas","VI"
"virginia commonwealth university","public",24212,"",0.75,17176,"richmond","VA"
"virginia military institute","public",1713,"moderately difficult",0.51,1843,"lexington","VA"
"virginia polytechnic institute & state university","public",25791,"moderately difficult",0.71,25000,"blacksburg","VA"
"virginia state university","public",4165,"minimally difficult",0.94,5722,"petersburg","VA"
"virginia union university","private",1509,"moderately difficult",0.49,7337,"richmond","VA"
"university of virginia","public",16736,"very difficult",0.3,30840,"charlottesville","VA"
"university of virginia's college wise","public",2221,"moderately difficult",0.76,1068,"wise","VA"
"virginia wesleyan college","private",1374,"moderately difficult",0.9,1654,"norfolk","VA"
"voorhees college","private",468,"moderately difficult",0.5,2776,"denmark","SC"
"wake forest university","private",4955,"very difficult",0.3,14006,"winston salem","NC"
"warner university","private",921,"minimally difficult",0.58,391,"lake wales","FL"
"warren wilson college","private",753,"moderately difficult",0.84,809,"asheville","NC"
"washington college","private",1479,"moderately difficult",0.49,6720,"chestertown","MD"
"washington & lee university","private",1830,"most difficult",0.24,5101,"lexington","VA"
"webber international university","private",654,"moderately difficult",0.5,713,"babson park","FL"
"wesley college","private",1661,"moderately difficult",0.63,2933,"dover","DE"
"wesleyan college","private",635,"moderately difficult",0.38,842,"macon","GA"
"university of west florida","public",10200,"moderately difficult",0.42,7104,"pensacola","FL"
"university of west georgia","public",11155,"moderately difficult",0.59,8131,"carrollton","GA"
"west liberty university","public",2166,"minimally difficult",0.72,1692,"west liberty","WV"
"west virginia university institute of technology","public",1347,"minimally difficult",0.53,1613,"montgomery","WV"
"west virginia state university","public",3391,"minimally difficult",0.96,3462,"institute","WV"
"west virginia university","public",22350,"moderately difficult",0.76,21558,"morgantown","WV"
"west virginia wesleyan college","private",1396,"moderately difficult",0.77,1730,"buckhannon","WV"
"western carolina university","public",9171,"moderately difficult",0.41,18297,"cullowhee","NC"
"western kentucky university","public",17595,"minimally difficult",0.94,9693,"bowling green","KY"
"college of william & mary","public",6276,"most difficult",0.37,14382,"williamsburg","VA"
"wilmington university","private",8873,"noncompetitive",1,3299,"new castle","DE"
"wingate university","private",2084,"moderately difficult",0.7,7581,"wingate","NC"
"winston-salem state university","public",5960,"minimally difficult",0.54,4068,"winston salem","NC"
"winthrop university","public",5091,"moderately difficult",0.69,4940,"rock hill","SC"
"north carolina state university","public",23847,"very difficult",0.46,25929,"raleigh","NC"
"university of north carolina asheville","public",3806,"moderately difficult",0.78,3433,"asheville","NC"
"university of north carolina chapel hill","public",18523,"very difficult",0.27,34889,"chapel hill","NC"
"university of north carolina charlotte","public",23404,"moderately difficult",0.62,17475,"charlotte","NC"
"university of north carolina greensboro","public",16281,"moderately difficult",0.74,9035,"greensboro","NC"
"university of north carolina wilmington","public",13914,"moderately difficult",0.72,10436,"wilmington","NC"
"north carolina wesleyan college","private",2092,"moderately difficult",0.62,4038,"rocky mount","NC"
"university of north florida","public",13846,"moderately difficult",0.65,11346,"jacksonville","FL"
"university of north georgia","public",17704,"moderately difficult",0.66,5634,"dahlonega","GA"
"university of louisiana monroe","public",7276,"moderately difficult",0.94,3187,"monroe","LA"
"northern kentucky university","public",12389,"",0.91,6059,"highland heights","KY"
"northwestern state university of louisiana","public",8700,"moderately difficult",0.58,4088,"natchitoches","LA"
"notre dame of maryland university","private",1169,"moderately difficult",0.49,827,"baltimore","MD"
"nova southeastern university","private",4295,"moderately difficult",0.52,6532,"fort lauderdale","FL"
"oakwood university","private",1824,"minimally difficult",0.57,1492,"huntsville","AL"
"oglethorpe university","private",1147,"very difficult",0.78,2768,"atlanta","GA"
"old dominion university","public",19793,"moderately difficult",0.85,11352,"norfolk","VA"
"ouachita baptist university","private",1494,"moderately difficult",0.67,1712,"arkadelphia","AR"
"our lady of holy cross college","private",1128,"minimally difficult",NA,NA,"new orleans","LA"
"university of the ozarks","private",651,"moderately difficult",0.97,744,"clarksville","AR"
"paine college","private",502,"minimally difficult",0.25,3964,"augusta","GA"
"palm beach atlantic university","private",2926,"moderately difficult",0.93,1449,"west palm beach","FL"
"university of north carolina pembroke","public",5514,"moderately difficult",0.74,4544,"pembroke","NC"
"piedmont college","private",1295,"moderately difficult",0.57,1335,"demorest","GA"
"university of pikeville","private",1658,"noncompetitive",1,2437,"pikeville","KY"
"presbyterian college","private",1063,"very difficult",0.6,2636,"clinton","SC"
"queens university of charlotte","private",1641,"moderately difficult",0.67,2111,"charlotte","NC"
"radford university","public",8453,"minimally difficult",0.81,7447,"radford","VA"
"randolph-macon college","private",1446,"moderately difficult",0.61,2842,"ashland","VA"
"randolph college","private",663,"moderately difficult",0.84,1214,"lynchburg","VA"
"rust college","private",1004,"minimally difficult",0.07,5337,"holly springs","MS"
"rhodes college","private",1999,"very difficult",0.54,4481,"memphis","TN"
"university of richmond","private",3036,"very difficult",0.32,10422,"university of richmond","VA"
"ringling college of art & design","private",1341,"moderately difficult",0.78,1752,"sarasota","FL"
"roanoke college","private",1992,"moderately difficult",0.73,4459,"salem","VA"
"st. andrews university","private",688,"moderately difficult",0.57,1238,"laurinburg","NC"
"st. augustine's university","private",944,"moderately difficult",0.71,4040,"raleigh","NC"
"st. john's college","private",434,"moderately difficult",0.53,612,"annapolis","MD"
"saint joseph seminary college","private",107,"minimally difficult",NA,NA,"saint benedict","LA"
"saint leo university","private",2264,"moderately difficult",0.7,4501,"saint leo","FL"
"salem college","private",938,"moderately difficult",0.6,929,"winston salem","NC"
"salisbury university","public",7861,"moderately difficult",0.66,8307,"salisbury","MD"
"samford university","private",3341,"moderately difficult",0.91,3446,"birmingham","AL"
"savannah state university","public",4645,"minimally difficult",0.83,2950,"savannah","GA"
"university of south alabama","public",11755,"moderately difficult",0.8,6401,"mobile","AL"
"south carolina state university","public",2529,"minimally difficult",0.86,2847,"orangeburg","SC"
"coastal carolina university","public",9747,"moderately difficult",0.61,17768,"conway","SC"
"university of south carolina upstate","public",5594,"moderately difficult",0.56,3633,"spartanburg","SC"
"university of south florida","public",31461,"moderately difficult",0.47,28623,"tampa","FL"
"southeastern louisiana university","public",13559,"moderately difficult",0.88,4226,"hammond","LA"
"southeastern university","private",5055,"minimally difficult",0.46,4061,"lakeland","FL"
"southern adventist university","private",2673,"moderately difficult",0.6,2003,"collegedale","TN"
"salem international university","private for profit",631,"",NA,NA,"salem","WV"
"st. mary's college of maryland","public",1643,"moderately difficult",0.8,1767,"st mary's city","MD"
"university of south carolina aiken","public",3374,"moderately difficult",0.61,2177,"aiken","SC"
"savannah college of art & design","private",10573,"moderately difficult",0.71,11723,"savannah","GA"
"university of southern mississippi","public",11779,"moderately difficult",0.46,6607,"hattiesburg","MS"
"spelman college","private",2125,"very difficult",0.36,7864,"atlanta","GA"
"sweet briar college","private",365,"minimally difficult",0.93,950,"sweet briar","VA"
"stetson university","private",3084,"moderately difficult",0.63,11216,"deland","FL"
"st. thomas university","private",2752,"",NA,NA,"miami gardens","FL"
"shaw university","private",1713,"minimally difficult",0.49,9605,"raleigh","NC"
"shenandoah university","private",2099,"",NA,NA,"winchester","VA"
"shorter university","private",1377,"moderately difficult",0.61,1820,"rome","GA"
"university of south carolina","public",25556,"moderately difficult",0.65,23341,"columbia","SC"
"sewanee: university of the south","private",1731,"very difficult",0.44,4423,"sewanee","TN"
"delaware state university","public",3943,"moderately difficult",0.44,8141,"dover","DE"
"university of delaware","public",18374,"moderately difficult",0.65,24456,"newark","DE"
"delta state university","public",2778,"noncompetitive",0.92,496,"cleveland","MS"
"dillard university","private",1185,"moderately difficult",0.48,4615,"new orleans","LA"
"university of the district of columbia","public",4491,"minimally difficult",NA,NA,"washington","DC"
"emporia state university","public",3702,"noncompetitive",0.87,1702,"emporia","KS"
"saint martin's university","private",1281,"moderately difficult",0.95,1344,"lacey","WA"
"oklahoma state university","public",21093,"moderately difficult",0.75,13055,"stillwater","OK"
"university of st. thomas","private",1814,"moderately difficult",0.77,942,"houston","TX"
"pomona college","private",1660,"most difficult",0.09,8102,"claremont","CA"
"pacific lutheran university","private",2782,"moderately difficult",0.77,3770,"tacoma","WA"
"northwestern oklahoma state university","public",1982,"moderately difficult",0.81,1078,"alva","OK"
"midwestern state university","public",5287,"moderately difficult",0.76,2854,"wichita falls","TX"
"jarvis christian college","private",NA,"minimally difficult",0.54,983,"hawkins","TX"
"hardin-simmons university","private",1721,"moderately difficult",0.88,1149,"abilene","TX"
"multnomah university","private",417,"moderately difficult",0.7,198,"portland","OR"
"california state university fullerton","public",34576,"moderately difficult",0.48,44493,"fullerton","CA"
"baker university","private",1144,"moderately difficult",0.78,899,"baldwin city","KS"
