"University","CostIState","CostOState"
"Maryville University of Saint Louis",47542,47542
"West Texas A&M University",20295,22156
"College of Mount St. Joseph",41566,41566
"Marygrove College",33030,33030
"Sam Houston State University",19071,31521
"Hannibal-LaGrange University",34062,34062
"East Texas Baptist University",37643,37643
"Northeastern Illinois University",NA,NA
"San Diego State University",28224,40104
"University of Mary",28338,28338
"Eastern Michigan University",26310,43491
"Judson University",42794,42794
"Principia College",43350,43350
"Minnesota State University Moorhead",20749,28158
"Heidelberg University",43400,43400
"University of Evansville",50870,50870
"National Louis University",NA,NA
"Eureka College",36760,36760
"Case Western Reserve University",65384,65384
"Calvary Bible College and Theological Seminary",19844,19844
