University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary
newman university,29360,29360,private,2535,minimally difficult,0.58,1331,wichita,KS,Midwestern,NA
university of st. francis,29430,29430,private,1362,moderately difficult,0.49,1560,joliet,IL,Midwestern,NA
university of st. francis,29430,29430,private,1810,minimally difficult,0.97,977,fort wayne,IN,Midwestern,NA
judson university,29434,29434,private,1123,moderately difficult,0.75,676,elgin,IL,Midwestern,NA
mount mary university,29510,29510,private,807,moderately difficult,0.56,689,milwaukee,WI,Midwestern,NA
saint mary-of-the-woods college,29510,29510,private,690,minimally difficult,0.73,367,saint mary of the woods,IN,Midwestern,NA
upper iowa university,29600,29600,private,3991,moderately difficult,0.94,1121,fayette,IA,Midwestern,NA
mckendree university,29640,29640,private,2290,moderately difficult,0.68,2283,lebanon,IL,Midwestern,NA
midamerica nazarene university,29670,29670,private,1309,minimally difficult,0.52,1077,olathe,KS,Midwestern,NA
anderson university,29710,29710,private,1883,moderately difficult,0.66,2650,anderson,IN,Midwestern,NA
university of dubuque,29710,29710,private,1924,moderately difficult,0.76,1662,dubuque,IA,Midwestern,NA
holy cross college,29734,29734,private,601,moderately difficult,0.91,638,notre dame,IN,Midwestern,NA
briar cliff university,29786,29786,private,1117,moderately difficult,0.51,1741,sioux city,IA,Midwestern,NA
university of mount union,29890,29890,private,2140,moderately difficult,0.77,2525,alliance,OH,Midwestern,NA
malone university,29900,29900,private,1311,moderately difficult,0.73,1762,canton,OH,Midwestern,NA
iowa wesleyan college,30000,30000,private,473,moderately difficult,0.41,1696,mount pleasant,IA,Midwestern,NA
dordt college,30000,30000,private,1376,moderately difficult,0.75,1355,sioux center,IA,Midwestern,NA
