"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"millersville university of pennsylvania",11858,21318,"public",6980,"moderately difficult",0.69,6943,"millersville","PA"
"cedar crest college",38092,38092,"private",1428,"moderately difficult",0.66,1193,"allentown","PA"
"westminster college",36230,36230,"private",1168,"moderately difficult",0.91,2125,"new wilmington","PA"
"westminster college",36230,36230,"private",2127,"moderately difficult",0.94,1938,"salt lake city","UT"
"westminster college",36230,36230,"private",940,"moderately difficult",0.64,1789,"fulton","MO"
"centenary university",32580,32580,"private",1518,"moderately difficult",0.88,1160,"hackettstown","NJ"
"wheelock college",36350,36350,"private",726,"minimally difficult",0.84,1305,"boston","MA"
"central connecticut state university",10225,22914,"public",9538,"moderately difficult",0.6,7810,"new britain","CT"
"wheaton college",50850,50850,"private",1651,"very difficult",0.62,4478,"norton","MA"
"wheaton college",50850,50850,"private",2456,"very difficult",0.79,1850,"wheaton","IL"
"widener university",44166,44166,"private",3591,"moderately difficult",0.7,5175,"chester","PA"
"chatham university",36510,36510,"private",1002,"moderately difficult",0.53,1926,"pittsburgh","PA"
"wilkes university",34896,34896,"private",2561,"moderately difficult",0.76,4245,"wilkes barre","PA"
"chestnut hill college",35180,35180,"private",1369,"moderately difficult",0.94,1242,"philadelphia","PA"
"william paterson university",12804,20842,"public",9103,"moderately difficult",0.76,10787,"wayne","NJ"
"cheyney university of pennsylvania",9060,13930,"public",997,"minimally difficult",0.85,1127,"cheyney","PA"
"clarion university of pennsylvania",10890,14636,"public",4330,"",NA,NA,"clarion","PA"
"williams college",53550,53550,"private",2076,"most difficult",0.18,6985,"williamstown","MA"
"wilson college",24452,24452,"private",571,"moderately difficult",0.53,450,"chambersburg","PA"
"clark university",44400,44400,"private",2289,"moderately difficult",0.55,7914,"worcester","MA"
"clarkson university",47950,47950,"private",3268,"very difficult",0.68,7066,"potsdam","NY"
